sch_budget,lean
3,Democrat
2,Democrat
3,Republican
2,Democrat
2,Democrat
1,Republican
3,Republican
3,Republican
2,Republican
2,Republican
2,Republican
2,Republican
3,Democrat
2,Democrat
3,Republican
2,Democrat
3,Republican
2,Republican
2,Democrat
2,Republican
3,Democrat
3,Democrat
1,Republican
2,Republican
3,Democrat
2,Republican
3,Democrat
2,Republican
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
1,Republican
1,Democrat
2,Republican
1,Republican
3,Republican
2,Democrat
3,Republican
3,Democrat
2,Republican
2,Republican
3,Democrat
1,Republican
3,Republican
3,Democrat
2,Republican
1,Republican
2,Republican
3,Republican
3,Republican
3,Republican
2,Republican
1,Republican
2,Republican
3,Republican
2,Democrat
3,Democrat
3,Democrat
2,Republican
2,Republican
2,Democrat
2,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Democrat
2,Republican
3,Republican
3,Democrat
2,Republican
2,Democrat
3,Democrat
3,Democrat
2,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
2,Democrat
2,Republican
3,Republican
3,Republican
1,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
2,Republican
3,Democrat
2,Democrat
2,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Republican
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Republican
1,Republican
3,Democrat
3,Democrat
3,Democrat
1,Republican
1,Republican
2,Democrat
3,Republican
3,Republican
1,Republican
2,Republican
1,Republican
1,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Democrat
2,Democrat
3,Republican
2,Democrat
2,Democrat
2,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
1,Republican
2,Republican
3,Democrat
3,Democrat
2,Republican
2,Republican
1,Republican
3,Democrat
2,Republican
2,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
1,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Republican
2,Democrat
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
2,Republican
3,Republican
3,Republican
2,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
2,Democrat
2,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
2,Republican
3,Republican
2,Democrat
3,Democrat
2,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
1,Republican
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Republican
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Democrat
2,Democrat
3,Democrat
3,Republican
2,Democrat
3,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
2,Democrat
2,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
1,Republican
3,Republican
3,Republican
3,Republican
2,Republican
2,Republican
3,Democrat
2,Republican
3,Republican
1,Republican
3,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Democrat
2,Republican
2,Republican
2,Democrat
2,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
2,Republican
1,Republican
2,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
2,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
2,Republican
3,Democrat
3,Republican
3,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Republican
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
1,Republican
1,Republican
3,Republican
3,Democrat
1,Republican
2,Democrat
3,Democrat
3,Republican
3,Republican
2,Democrat
3,Republican
2,Republican
1,Republican
3,Republican
3,Democrat
1,Republican
3,Republican
3,Democrat
1,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Republican
3,Democrat
2,Republican
3,Democrat
3,Republican
1,Republican
2,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
2,Democrat
2,Republican
1,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
2,Republican
2,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
1,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Republican
1,Republican
3,Democrat
3,Democrat
2,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Republican
3,Republican
1,Democrat
3,Republican
3,Republican
2,Democrat
1,Republican
2,Republican
3,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
2,Democrat
3,Democrat
3,Democrat
1,Democrat
3,Democrat
1,Republican
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Republican
2,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Republican
3,Republican
2,Republican
3,Republican
1,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
2,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
2,Democrat
3,Republican
3,Republican
3,Republican
2,Republican
3,Republican
1,Republican
2,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
1,Republican
2,Republican
2,Democrat
3,Republican
2,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Democrat
2,Republican
1,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Republican
3,Republican
3,Republican
1,Republican
2,Republican
1,Democrat
3,Democrat
1,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
2,Republican
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Republican
1,Republican
3,Democrat
3,Republican
3,Democrat
1,Republican
2,Republican
2,Republican
3,Democrat
2,Republican
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Republican
3,Democrat
2,Republican
3,Democrat
1,Republican
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Republican
1,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Republican
2,Democrat
2,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
1,Republican
3,Democrat
3,Democrat
2,Republican
3,Republican
1,Republican
2,Republican
3,Democrat
2,Democrat
2,Republican
2,Republican
3,Democrat
3,Republican
2,Republican
3,Democrat
2,Republican
2,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Democrat
2,Republican
3,Republican
2,Republican
2,Democrat
3,Democrat
3,Republican
2,Democrat
3,Democrat
3,Republican
2,Democrat
1,Republican
3,Republican
2,Republican
2,Republican
3,Democrat
2,Republican
2,Republican
2,Republican
2,Democrat
1,Republican
2,Democrat
2,Republican
3,Democrat
2,Republican
3,Democrat
3,Republican
2,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Democrat
1,Republican
2,Democrat
1,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
2,Democrat
3,Republican
2,Democrat
2,Republican
2,Republican
2,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
2,Democrat
3,Republican
2,Democrat
3,Republican
3,Democrat
3,Republican
3,Republican
2,Republican
3,Democrat
2,Democrat
3,Republican
2,Republican
2,Democrat
1,Republican
1,Republican
2,Republican
1,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
1,Republican
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
2,Democrat
3,Democrat
3,Republican
3,Democrat
1,Republican
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
2,Republican
1,Republican
3,Republican
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
1,Republican
2,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
2,Republican
2,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
2,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
2,Republican
1,Republican
2,Democrat
2,Democrat
1,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Republican
3,Democrat
2,Republican
1,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Republican
2,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Republican
2,Democrat
2,Republican
2,Democrat
2,Democrat
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Republican
2,Republican
2,Republican
1,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
1,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Republican
3,Republican
1,Republican
3,Democrat
2,Republican
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
1,Republican
2,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Democrat
2,Democrat
3,Republican
3,Republican
3,Democrat
3,Republican
1,Republican
1,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
2,Democrat
3,Republican
2,Republican
3,Republican
1,Republican
3,Democrat
1,Republican
3,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Republican
3,Republican
2,Republican
2,Democrat
2,Republican
3,Republican
3,Republican
2,Democrat
3,Republican
2,Republican
2,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
2,Democrat
3,Democrat
2,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
2,Republican
3,Democrat
1,Republican
1,Republican
3,Democrat
1,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
1,Republican
3,Democrat
3,Republican
2,Republican
2,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
1,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
2,Democrat
2,Republican
3,Republican
1,Democrat
3,Republican
3,Republican
2,Republican
3,Democrat
2,Republican
2,Democrat
2,Republican
3,Democrat
1,Republican
3,Republican
3,Democrat
3,Republican
3,Republican
3,Republican
2,Republican
3,Republican
3,Republican
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Democrat
2,Republican
3,Republican
3,Democrat
2,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
2,Democrat
2,Democrat
1,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
2,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Republican
3,Republican
3,Democrat
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Democrat
2,Democrat
1,Republican
3,Democrat
3,Republican
3,Democrat
1,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
2,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
2,Democrat
3,Democrat
3,Republican
2,Democrat
3,Republican
2,Republican
1,Republican
3,Democrat
3,Republican
3,Democrat
1,Republican
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Democrat
2,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Democrat
2,Democrat
3,Republican
2,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
1,Republican
3,Democrat
3,Republican
2,Republican
2,Republican
3,Republican
3,Republican
2,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
2,Republican
2,Republican
2,Democrat
3,Democrat
2,Republican
2,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
1,Republican
3,Democrat
3,Democrat
2,Republican
1,Republican
2,Democrat
3,Republican
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
1,Republican
3,Republican
2,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
2,Republican
2,Republican
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
2,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
1,Republican
3,Republican
2,Democrat
1,Republican
2,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
1,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Democrat
3,Republican
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Republican
2,Democrat
3,Republican
3,Democrat
3,Republican
2,Democrat
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
2,Republican
1,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Republican
2,Republican
3,Republican
3,Democrat
3,Republican
3,Republican
2,Democrat
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Democrat
2,Republican
3,Democrat
1,Republican
1,Republican
1,Republican
2,Republican
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
1,Republican
2,Republican
3,Democrat
2,Republican
3,Democrat
3,Republican
1,Republican
3,Democrat
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
2,Republican
2,Democrat
3,Republican
2,Republican
3,Republican
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Democrat
3,Democrat
3,Republican
2,Republican
3,Democrat
1,Republican
3,Democrat
3,Republican
3,Republican
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
1,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
2,Democrat
3,Republican
1,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
1,Republican
3,Democrat
3,Democrat
2,Republican
2,Republican
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Republican
2,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Republican
2,Democrat
2,Republican
2,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
1,Republican
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Republican
2,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Republican
2,Republican
2,Democrat
3,Democrat
2,Democrat
2,Democrat
3,Republican
2,Republican
2,Democrat
2,Republican
3,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
2,Republican
1,Republican
3,Democrat
1,Republican
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Republican
3,Democrat
1,Republican
2,Democrat
1,Democrat
2,Democrat
2,Democrat
3,Democrat
3,Republican
1,Republican
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Republican
2,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
1,Republican
1,Republican
2,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
2,Republican
3,Democrat
2,Republican
3,Republican
1,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Republican
3,Democrat
1,Republican
3,Democrat
1,Democrat
2,Democrat
2,Republican
1,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Republican
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
2,Republican
1,Democrat
3,Republican
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Republican
1,Republican
3,Republican
3,Democrat
2,Republican
3,Republican
2,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Republican
2,Republican
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Republican
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Democrat
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
2,Democrat
1,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Democrat
3,Democrat
2,Republican
3,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
1,Republican
2,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Democrat
3,Republican
3,Democrat
3,Democrat
2,Republican
3,Democrat
3,Democrat
2,Democrat
3,Democrat
2,Republican
1,Republican
2,Republican
2,Democrat
2,Republican
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Democrat
3,Republican
2,Democrat
3,Democrat
2,Democrat
3,Democrat
3,Republican
3,Republican
3,Democrat
1,Democrat
3,Democrat
3,Republican
3,Democrat
1,Republican
